title,start_time,end_time,exercise_title,set_index,set_type,weight_lbs,reps,duration_seconds,date,typeOfExercise,primary_muscle_group
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Shoulder Press (Dumbbell),0,normal,10.0,10.0,,2026-05-28,weighted,shoulders
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Shoulder Press (Dumbbell),1,normal,10.0,10.0,,2026-05-28,weighted,shoulders
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Shoulder Press (Dumbbell),2,normal,10.0,10.0,,2026-05-28,weighted,shoulders
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Chest Fly (Dumbbell),0,normal,5.0,10.0,,2026-05-28,weighted,chest
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Chest Fly (Dumbbell),1,normal,5.0,6.0,,2026-05-28,weighted,chest
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Chest Fly (Dumbbell),2,normal,5.0,10.0,,2026-05-28,weighted,chest
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Incline Bench Press (Dumbbell),0,normal,10.0,10.0,,2026-05-28,weighted,chest
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Lateral Raise (Dumbbell),0,normal,5.0,10.0,,2026-05-28,weighted,shoulders
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Lateral Raise (Dumbbell),1,normal,5.0,6.0,,2026-05-28,weighted,shoulders
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Triceps Kickback (Dumbbell),0,normal,5.0,8.0,,2026-05-28,weighted,triceps
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Triceps Kickback (Dumbbell),1,normal,5.0,8.0,,2026-05-28,weighted,triceps
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Triceps Kickback (Dumbbell),2,normal,5.0,8.0,,2026-05-28,weighted,triceps
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Dead Bug,0,normal,,8.0,,2026-05-28,bodyweight,abdominals
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Dead Bug,1,normal,,8.0,,2026-05-28,bodyweight,abdominals
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Dead Bug,2,normal,,10.0,,2026-05-28,bodyweight,abdominals
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Stretching,0,normal,,,300.0,2026-05-28,timed,other
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Hip Thrust (Barbell),0,normal,10.0,10.0,,2026-05-28,weighted,glutes
Home Gym - Wed,2026-05-28 21:26:00,2026-05-28 22:19:00,Hip Thrust (Barbell),1,normal,10.0,10.0,,2026-05-28,weighted,glutes
