"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Seated Row (Machine)",,"",1,"normal",40,10,,,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Seated Row (Machine)",,"",2,"normal",40,10,,,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Face Pull",,"",0,"normal",2.5,8,,,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Face Pull",,"",1,"normal",2.5,8,,,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Face Pull",,"",2,"normal",2.5,15,,,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Hanging Knee Raise",,"",0,"normal",,8,,,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Hanging Knee Raise",,"",1,"normal",,8,,,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Stretching",,"",0,"normal",,,,403,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Dead Bug",,"",0,"normal",,10,,,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Dead Bug",,"",1,"normal",,10,,,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Plank",,"",0,"normal",,,,25,
"Home Gym - Wed","Jul 14, 2026, 9:14 PM","Jul 14, 2026, 9:49 PM","","Shoulder Press (Dumbbell)",,"",0,"normal",10,10,,,
"Home Gym - Wed","Jul 14, 2026, 9:14 PM","Jul 14, 2026, 9:49 PM","","Shoulder Press (Dumbbell)",,"",1,"normal",10,10,,,
"Home Gym - Wed","Jul 14, 2026, 9:14 PM","Jul 14, 2026, 9:49 PM","","Chest Fly (Dumbbell)",,"",0,"normal",5,10,,,
"Home Gym - Wed","Jul 14, 2026, 9:14 PM","Jul 14, 2026, 9:49 PM","","Chest Fly (Dumbbell)",,"",1,"normal",5,10,,,
"Home Gym - Wed","Jul 14, 2026, 9:14 PM","Jul 14, 2026, 9:49 PM","","Incline Bench Press (Dumbbell)",,"",0,"normal",10,8,,,
"Home Gym - Wed","Jul 14, 2026, 9:14 PM","Jul 14, 2026, 9:49 PM","","Incline Bench Press (Dumbbell)",,"",1,"normal",10,8,,,
"Home Gym - Wed","Jul 14, 2026, 9:14 PM","Jul 14, 2026, 9:49 PM","","Lateral Raise (Dumbbell)",,"",0,"normal",5,10,,,
"Home Gym - Wed","Jul 14, 2026, 9:14 PM","Jul 14, 2026, 9:49 PM","","Lateral Raise (Dumbbell)",,"",1,"normal",5,10,,,
"Home Gym - Wed","Jul 14, 2026, 9:14 PM","Jul 14, 2026, 9:49 PM","","Triceps Kickback (Dumbbell)",,"",0,"normal",5,10,,,
"Home Gym - Wed","Jul 14, 2026, 9:14 PM","Jul 14, 2026, 9:49 PM","","Triceps Kickback (Dumbbell)",,"",1,"normal",5,10,,,
"Home Gym - Wed","Jul 14, 2026, 9:14 PM","Jul 14, 2026, 9:49 PM","","Dead Bug",,"",0,"normal",,10,,,
"Home Gym - Wed","Jul 14, 2026, 9:14 PM","Jul 14, 2026, 9:49 PM","","Dead Bug",,"",1,"normal",,10,,,
"Home Gym - Wed","Jul 14, 2026, 9:14 PM","Jul 14, 2026, 9:49 PM","","Dead Bug",,"",2,"normal",,10,,,
"Evening workout 🏋️","Jul 10, 2026, 8:53 PM","Jul 10, 2026, 8:54 PM","","Cycling",,"",0,"normal",,,1.2,38,
"Late night workout 🌙","Jul 3, 2026, 11:41 PM","Jul 4, 2026, 12:08 AM","","Squat (Bodyweight)",,"",0,"normal",,10,,,
"Late night workout 🌙","Jul 3, 2026, 11:41 PM","Jul 4, 2026, 12:08 AM","","Cat-Cow",,"",0,"normal",,8,,,
"Late night workout 🌙","Jul 3, 2026, 11:41 PM","Jul 4, 2026, 12:08 AM","","Band Pullaparts",,"",0,"normal",,12,,,
